model,dependency,layer,head,coverage,avg_relative_score,universality_score,normalized_layer_depth
gemma-2-9b,det,5,14,0.5,0.9555366024494013,0.09376892612853514,0.12195121951219512
gemma-2-9b,mark,11,13,0.6,0.8158052025357746,0.009145890597546147,0.2682926829268293
deberta-v3-base,det,5,7,0.5,0.9381258543451617,0.008687455961664833,0.45454545454545453
Mistral-7B-v0.3,conjunctions,8,1,0.625,0.9835460552192932,0.0060932884179177,0.25806451612903225
Llama-3.2-1B,advcl,8,25,0.5,0.9549182789373017,0.004109375062565209,0.5333333333333333
mdeberta-v3-base,nominal_verb_arguments,10,2,0.5,0.9862927293230602,0.004098450978102945,0.9090909090909091
deberta-v3-base,nominal_verb_arguments,11,4,0.75,0.8823596963158834,0.0022744085573438424,1.0
mdeberta-v3-base,obj,9,1,0.5,0.9871583716285566,0.0018189320940066476,0.8181818181818182
gemma-2-9b,conjunctions,13,2,0.5714285714285714,0.9574863425765969,0.0016298632468047822,0.3170731707317073
deberta-v3-base,nominal_verb_arguments,5,7,0.5,1.0,0.0015139676841725014,0.45454545454545453
