,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,26,139,18,9,3,153,2,277,0,0,98,14,9,17,0,8
layer_1,120,194,206,247,206,35,218,231,221,245,224,0,290,193,240,207
layer_2,165,169,156,183,163,0,186,177,157,30,200,195,182,142,171,163
layer_3,321,218,178,154,160,285,173,132,161,204,225,205,203,121,219,191
layer_4,240,138,58,251,214,451,213,296,186,242,173,221,55,229,298,362
layer_5,167,213,164,307,187,163,122,190,63,260,195,16,174,363,309,34
layer_6,337,26,17,36,26,327,89,4,184,162,172,33,16,331,18,213
layer_7,361,298,91,401,85,305,360,236,193,239,389,413,251,364,205,392
layer_8,141,163,0,154,197,13,158,56,155,82,150,139,154,154,0,149
layer_9,81,256,192,150,174,243,509,343,174,262,231,172,442,361,1,112
layer_10,155,156,154,153,126,156,154,154,123,154,373,154,154,154,148,158
layer_11,164,178,170,156,577,253,156,161,192,201,207,136,170,420,432,254
layer_12,138,71,154,154,155,160,153,145,154,151,154,202,155,126,173,154
layer_13,178,214,208,282,169,152,154,160,168,154,143,175,178,155,452,242
layer_14,153,149,192,154,154,166,153,155,153,154,153,180,154,154,154,161
layer_15,156,155,212,183,166,123,157,121,158,347,212,329,140,166,162,60
layer_16,155,145,156,151,150,149,154,158,156,157,155,101,154,154,153,154
layer_17,277,253,156,158,157,196,34,142,151,133,132,387,151,151,359,157
layer_18,157,153,140,155,154,157,182,156,163,167,153,154,179,153,153,173
layer_19,152,148,145,151,121,153,145,118,168,154,154,143,148,142,149,148
layer_20,156,185,149,153,149,154,189,152,142,156,153,147,134,154,146,154
layer_21,154,143,135,127,150,135,130,141,152,155,147,201,136,380,154,108
layer_22,160,151,30,143,150,159,152,140,153,164,150,62,147,164,114,153
layer_23,44,21,138,150,84,34,18,147,1,53,12,14,26,2,45,44
